Array size (n),Average runtime (ms) for 10 trials,Average runtime (ms) for 100 trials,Average runtime (ms) for 1000 trials,Average runtime (ms) for 10000 trials
"10,000",1.2,0.51,0.347,0.3101
"9,500",1.1,0.49,0.328,0.3038
"9,000",1.1,0.45,0.294,0.274
"8,500",0.9,0.53,0.289,0.2563
"8,000",1,0.45,0.277,0.2288
"7,500",1.10,0.39,0.246,0.2197
"7,000",0.80,0.4,0.24,0.2116
"6,500",0.9,0.33,0.213,0.1972
"6,000",0.6,0.28,0.174,0.1559
"5,500",0.5,0.25,0.159,0.159
"5,000",0.5,0.21,0.132,0.1113
"4,500",0.6,0.2,0.121,0.0921
"4,000",0.5,0.18,0.114,0.0888
"3,500",0.4,0.17,0.108,0.0707
"3,000",0.3,0.17,0.062,0.069
"2,500",0.3,0.15,0.057,0.0436
"2,000",0.2,0.12,0.053,0.0327
"1,500",0.1,0.09,0.033,0.0198
"1,000",0.1,0.09,0.029,0.0143
500,0.1,0.08,0.016,0.0065
100,0,0.02,0.013,0.0023
